node_a	node_b	arm	label_a	label_b
24597041#4	24597041#3	arm1	flankL	NC_062999_HD1
24597041#3	24597041#2	arm1	NC_062999_HD1	NC_062999_HD2
24597041#2	24597041#1	arm1	NC_062999_HD2	flankR
