node_a	node_b	arm	label_a	label_b
12560442	7685561#1	arm1		flankL
7685561#1	7685561#2	arm1	flankL	NC_062999_HD1
7685561#2	7685561#3	arm1	NC_062999_HD1	NC_062999_HD2
7685561#3	7685561#4	arm1	NC_062999_HD2	flankR
7685561#4	10892992	arm1	flankR	flankR
12560442	6674176#1	arm2		flankL
6674176#1	6674176#2	arm2	flankL	NC_062999_HD1
6674176#2	6674176#3	arm2	NC_062999_HD1	NC_062999_HD2
6674176#3	6674176#4	arm2	NC_062999_HD2	flankR
6674176#4	10892992	arm2	flankR	flankR
