node_a	node_b	arm	label_a	label_b
315681	22441855	arm1	flankL	
22441855	10207407#2	arm1		NC_062999_HD1
10207407#2	10207407#1	arm1	NC_062999_HD1	NC_062999_HD2
10207407#1	18833649	arm1	NC_062999_HD2	
18833649	18634887	arm1		flankR
315681	22441855	arm2	flankL	
22441855	17515071#1	arm2		NC_062999_HD1
17515071#1	17515071#2	arm2	NC_062999_HD1	NC_062999_HD2
17515071#2	18833649	arm2	NC_062999_HD2	
18833649	18634887	arm2		flankR
