node_a	node_b	arm	label_a	label_b
33208449#4	33208449#3	arm1	flankL	NC_062999_HD1
33208449#3	33208449#2	arm1	NC_062999_HD1	NC_062999_HD2
33208449#2	33208449#1	arm1	NC_062999_HD2	flankR
