node_a	node_b	arm	label_a	label_b
10131	40740821#3	arm1	flankL	flankL
40740821#3	40740821#2	arm1	flankL	NC_062999_HD1
40740821#2	40740821#1	arm1	NC_062999_HD1	NC_062999_HD2
40740821#1	40309803	arm1	NC_062999_HD2	flankR
10131	40686174#1	arm2	flankL	flankL
40686174#1	40686174#2	arm2	flankL	NC_062999_HD1
40686174#2	40686174#3	arm2	NC_062999_HD1	NC_062999_HD2
40686174#3	40309803	arm2	NC_062999_HD2	flankR
