node_a	node_b	arm	label_a	label_b
16914612#1	15471940	arm1	flankL	flankL
15471940	16948582#3	arm1	flankL	NC_062999_HD1
16948582#3	16948582#2	arm1	NC_062999_HD1	NC_062999_HD2
16948582#2	16948582#1	arm1	NC_062999_HD2	flankR
16948582#1	16942314	arm1	flankR	flankR
16914612#1	16914612#2	arm2	flankL	NC_062999_HD1
16914612#2	16914612#3	arm2	NC_062999_HD1	NC_062999_HD2
16914612#3	16914612#4	arm2	NC_062999_HD2	flankR
16914612#4	16942314	arm2	flankR	flankR
