node_a	node_b	arm	label_a	label_b
21069625	14514158#1	arm1	flankL	flankL
14514158#1	14514158#2	arm1	flankL	NC_062999_HD1
14514158#2	14514158#3	arm1	NC_062999_HD1	NC_062999_HD2
14514158#3	14514158#4	arm1	NC_062999_HD2	flankR
14514158#4	21923669	arm1	flankR	flankR
21069625	14639191	arm2	flankL	flankL
14639191	17043016	arm2	flankL	NC_062999_HD1
17043016	14904276	arm2	NC_062999_HD1	flankR
14904276	21923669	arm2	flankR	flankR
