node_a	node_b	arm	label_a	label_b
1169361#1	1169361#2	arm1	flankL	NC_062999_HD1
1169361#2	1169361#3	arm1	NC_062999_HD1	NC_062999_HD2
1169361#3	2700055	arm1	NC_062999_HD2	flankR
511705#1	511705#2	arm2	NC_062999_HD1	NC_062999_HD2
511705#2	2700055	arm2	NC_062999_HD2	flankR
