node_a	node_b	arm	label_a	label_b
27791502	41982725#3	arm1		flankL
41982725#3	41982725#2	arm1	flankL	NC_062999_HD1
41982725#2	41982725#1	arm1	NC_062999_HD1	NC_062999_HD2
41982725#1	40326671	arm1	NC_062999_HD2	flankR
27791502	41706052#1	arm2		flankL
41706052#1	41706052#2	arm2	flankL	NC_062999_HD1
41706052#2	41706052#3	arm2	NC_062999_HD1	NC_062999_HD2
41706052#3	40326671	arm2	NC_062999_HD2	flankR
