node_a	node_b	arm	label_a	label_b
21340444	12514030#1	arm1	flankL	flankL
12514030#1	12514030#2	arm1	flankL	NC_062999_HD1
12514030#2	12514030#3	arm1	NC_062999_HD1	NC_062999_HD2
12514030#3	4975	arm1	NC_062999_HD2	flankR
21340444	20811480#1	arm2	flankL	flankL
20811480#1	20811480#2	arm2	flankL	NC_062999_HD1
20811480#2	20811480#3	arm2	NC_062999_HD1	NC_062999_HD2
20811480#3	4975	arm2	NC_062999_HD2	flankR
