node_a	node_b	arm	label_a	label_b
32412092	21525322#4	arm1		flankL
21525322#4	21525322#3	arm1	flankL	NC_062999_HD1
21525322#3	21525322#2	arm1	NC_062999_HD1	NC_062999_HD2
21525322#2	21525322#1	arm1	NC_062999_HD2	flankR
21525322#1	1749	arm1	flankR	flankR
32412092	529781#4	arm2		flankL
529781#4	529781#3	arm2	flankL	NC_062999_HD1
529781#3	529781#2	arm2	NC_062999_HD1	NC_062999_HD2
529781#2	529781#1	arm2	NC_062999_HD2	flankR
529781#1	1749	arm2	flankR	flankR
