node_a	node_b	arm	label_a	label_b
8551498	6473658#4	arm1		flankL
6473658#4	6473658#3	arm1	flankL	NC_062999_HD1
6473658#3	6473658#2	arm1	NC_062999_HD1	NC_062999_HD2
6473658#2	6473658#1	arm1	NC_062999_HD2	flankR
6473658#1	9501879	arm1	flankR	
8551498	10019233#1	arm2		flankL
10019233#1	10019233#2	arm2	flankL	NC_062999_HD1
10019233#2	10019233#3	arm2	NC_062999_HD1	NC_062999_HD2
10019233#3	10019233#4	arm2	NC_062999_HD2	flankR
10019233#4	9501879	arm2	flankR	
