node_a	node_b	arm	label_a	label_b
16972239	12582487#3	arm1	flankL	flankL
12582487#3	12582487#2	arm1	flankL	NC_062999_HD1
12582487#2	12582487#1	arm1	NC_062999_HD1	NC_062999_HD2
12582487#1	15544054	arm1	NC_062999_HD2	flankR
16972239	12895539	arm2	flankL	flankL
12895539	12972503	arm2	flankL	NC_062999_HD1
12972503	24987914	arm2	NC_062999_HD1	
24987914	15544054	arm2		flankR
