node_a	node_b	arm	label_a	label_b
16587945#4	423269	arm1	flankL	
423269	20396990#3	arm1		NC_062999_HD1
20396990#3	20396990#2	arm1	NC_062999_HD1	NC_062999_HD2
20396990#2	20396990#1	arm1	NC_062999_HD2	flankR
20396990#1	18419991	arm1	flankR	flankR
16587945#4	16587945#3	arm2	flankL	NC_062999_HD1
16587945#3	16587945#2	arm2	NC_062999_HD1	NC_062999_HD2
16587945#2	16587945#1	arm2	NC_062999_HD2	flankR
16587945#1	18419991	arm2	flankR	flankR
