node_a	node_b	arm	label_a	label_b
6286908	30312582#4	arm1	flankL	flankL
30312582#4	30312582#3	arm1	flankL	NC_062999_HD1
30312582#3	30312582#2	arm1	NC_062999_HD1	NC_062999_HD2
30312582#2	30312582#1	arm1	NC_062999_HD2	flankR
30312582#1	8582305	arm1	flankR	flankR
6286908	33796135#4	arm2	flankL	flankL
33796135#4	33796135#3	arm2	flankL	NC_062999_HD1
33796135#3	33796135#2	arm2	NC_062999_HD1	NC_062999_HD2
33796135#2	33796135#1	arm2	NC_062999_HD2	flankR
33796135#1	8582305	arm2	flankR	flankR
