node_a	node_b	arm	label_a	label_b
5242942	435575#1	arm1	flankL	flankL
435575#1	435575#2	arm1	flankL	NC_062999_HD1
435575#2	435575#3	arm1	NC_062999_HD1	NC_062999_HD2
435575#3	435575#4	arm1	NC_062999_HD2	flankR
435575#4	4370017	arm1	flankR	flankR
5242942	3208027#4	arm2	flankL	flankL
3208027#4	3208027#3	arm2	flankL	NC_062999_HD1
3208027#3	3208027#2	arm2	NC_062999_HD1	NC_062999_HD2
3208027#2	3208027#1	arm2	NC_062999_HD2	flankR
3208027#1	4370017	arm2	flankR	flankR
