node_a	node_b	arm	label_a	label_b
6187486	616199#3	arm1	flankL	flankL
616199#3	616199#2	arm1	flankL	NC_062999_HD1
616199#2	616199#1	arm1	NC_062999_HD1	NC_062999_HD2
616199#1	5179475	arm1	NC_062999_HD2	flankR
6187486	3340361#1	arm2	flankL	flankL
3340361#1	3340361#2	arm2	flankL	NC_062999_HD1
3340361#2	3340361#3	arm2	NC_062999_HD1	NC_062999_HD2
3340361#3	5179475	arm2	NC_062999_HD2	flankR
