node_a	node_b	arm	label_a	label_b
29558297	29531542#4	arm1	flankL	flankL
29531542#4	29531542#3	arm1	flankL	NC_062999_HD1
29531542#3	29531542#2	arm1	NC_062999_HD1	NC_062999_HD2
29531542#2	29531542#1	arm1	NC_062999_HD2	flankR
29531542#1	26410680	arm1	flankR	flankR
29558297	28801442	arm2	flankL	flankL
28801442	29578371	arm2	flankL	NC_062999_HD1
29578371	25526701	arm2	NC_062999_HD1	flankR
25526701	26410680	arm2	flankR	flankR
