node_a	node_b	arm	label_a	label_b
4421806	505131#3	arm1	flankL	flankL
505131#3	505131#2	arm1	flankL	NC_062999_HD1
505131#2	505131#1	arm1	NC_062999_HD1	NC_062999_HD2
505131#1	4733520	arm1	NC_062999_HD2	flankR
4421806	13407051#1	arm2	flankL	flankL
13407051#1	13407051#2	arm2	flankL	NC_062999_HD1
13407051#2	13407051#3	arm2	NC_062999_HD1	NC_062999_HD2
13407051#3	4733520	arm2	NC_062999_HD2	flankR
