node_a	node_b	arm	label_a	label_b
23527568	24162773#4	arm1	flankL	flankL
24162773#4	24162773#3	arm1	flankL	NC_062999_HD1
24162773#3	24162773#2	arm1	NC_062999_HD1	NC_062999_HD2
24162773#2	24162773#1	arm1	NC_062999_HD2	flankR
24162773#1	24337791	arm1	flankR	flankR
23527568	24410735#4	arm2	flankL	flankL
24410735#4	24410735#3	arm2	flankL	NC_062999_HD1
24410735#3	24410735#2	arm2	NC_062999_HD1	NC_062999_HD2
24410735#2	24410735#1	arm2	NC_062999_HD2	flankR
24410735#1	24337791	arm2	flankR	flankR
